"codice","data","specie","regione","provincia","comune","sesso","lunghezza (cm)","tag_rilievo","tag_rilascio","condizioni","interazione","segnalatore","rilevatore","struttura","latitudine","longitudine"
"CSC130915TCc3","15/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","","","Vivo","ND","Privato cittadino","Non disponibile","Non disponibile","42.6728","14.02122"
"CSC130915TCc2","15/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","","","Vivo","ND","Privato cittadino","Non disponibile","Non disponibile","42.67289","14.02187"
"CSC130915TCc1","15/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","","","Vivo","ND","Privato cittadino","Non disponibile","Non disponibile","42.67283","14.02189"
"CSC130915TCc12","15/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","","","Vivo","ND","Privato cittadino","Non disponibile","Non disponibile","42.67254","14.0221"
"CSC130915TCc17","15/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","","","Morto","ND","Privato cittadino","Non disponibile","Non disponibile","42.67295","14.0212"
"CSC130915TCc16","15/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","","","Morto","ND","Privato cittadino","Non disponibile","Non disponibile","42.67403","14.02126"
"CSC130915TCc15","15/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","","","Vivo","ND","Privato cittadino","Non disponibile","Non disponibile","42.67264","14.02162"
"CSC130915TCc14","15/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","","","Vivo","ND","Privato cittadino","Non disponibile","Non disponibile","42.67263","14.02166"
"CSC130915TCc11","15/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","","","Vivo","ND","Privato cittadino","Non disponibile","Non disponibile","42.67268","14.02199"
"CSC130915TCc10","15/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","","","Vivo","ND","Privato cittadino","Non disponibile","Non disponibile","42.67255","14.02181"
"CSC130915TCc9","15/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","","","Vivo","ND","Privato cittadino","Non disponibile","Non disponibile","42.67285","14.02148"
"CSC130915TCc13","15/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","","","","Vivo","ND","Privato cittadino","Non disponibile","Non disponibile","42.67241","14.02124"
"CSC130914TCc1","14/09/2013","Caretta caretta","Abruzzo","Teramo","","ND","7","","","Vivo","ND","Centro Studi Cetacei","Vincenzo Olivieri","Centro Studi Cetacei","42.67314","14.02192"
"CSC130820TCc1","20/08/2013","Caretta caretta","Calabria","Crotone","","F","45","","","Morto","ND","Guardia Costiera","Elena Madeo","Centro Studi Cetacei","38.93206","16.91722"
"CSC130801TCc1","01/08/2013","Caretta caretta","Abruzzo","Chieti","","ND","","","","Morto","ND","Guardia Costiera","Roberto Valente","ASL","42.09794","14.72525"
