codice,data_rilievo,regione,provincia,comune,specie,cod_specie,sesso,lunghezza_cm,tipo_lunghezza,condizioni,tag,tag_rilascio,interazione,segnalato_da,rilevatore,struttura_rilevatore,lng,lat
CSC120708TCc6,2012-07-08,Calabria,Reggio di Calabria,Brancaleone,Caretta caretta,1,ND,39.0,TOT,Vivo,,,ND,ASP,Elena Madeo,Centro Studi Cetacei,16.10572,37.96652
CSC120708TCc7,2012-07-08,Calabria,Reggio di Calabria,Bovalino,Caretta caretta,1,ND,28.0,TOT,Vivo,,,ND,ASP,Stefania Giglio,Centro Studi Cetacei,16.17848,38.14626
CSC120703TCc1,2012-07-03,Calabria,Reggio di Calabria,Brancaleone,Caretta caretta,1,ND,19.0,TOT,Vivo,,,ND,ASP,Elena Madeo,Centro Studi Cetacei,16.1061,37.96681
CSC120702TCc1,2012-07-02,Calabria,Cosenza,,Caretta caretta,1,F,68.0,TOT,Vivo,,,ND,Guardia Costiera,Elena Madeo,Centro di recupero,16.06873,39.12927
CSC120702TCc3,2012-07-02,Calabria,Reggio di Calabria,Brancaleone,Caretta caretta,1,ND,27.0,TOT,Vivo,,,ND,Centro Studi Cetacei,Stefania Giglio,Centro Studi Cetacei,16.10609,37.96683
CSC120702TCc2,2012-07-02,Calabria,Reggio di Calabria,Brancaleone,Caretta caretta,1,ND,34.0,TOT,Vivo,,,ND,ASP,Elena Madeo,Centro Studi Cetacei,16.1072,37.9678
CSC120629TCc1,2012-06-29,Calabria,Catanzaro,,Caretta caretta,1,ND,,,Morto,,,ND,Guardia Costiera,Stefania Giglio,Centro di recupero,16.76002,38.88859
CSC120629TCc2,2012-06-29,Calabria,Crotone,,Caretta caretta,1,F,36.0,TOT,Vivo,,,ND,Guardia Costiera,Elena Madeo,Centro di recupero,17.02065,38.90979
CSC120627TCc1,2012-06-27,Calabria,Reggio di Calabria,Roccella Ionica,Caretta caretta,1,F,63.0,TOT,Vivo,,,ND,ASP,Stefania Giglio,Centro Studi Cetacei,16.41018,38.32177
CSC120624TCc1,2012-06-24,Calabria,Reggio di Calabria,Brancaleone,Caretta caretta,1,ND,28.0,TOT,Vivo,,,ND,ASP,Elena Madeo,Centro Studi Cetacei,16.10627,37.96708
CSC120623TCc1,2012-06-23,Calabria,Reggio di Calabria,Palizzi,Caretta caretta,1,ND,20.0,TOT,Vivo,,,ND,ASP,Stefania Giglio,Centro Studi Cetacei,15.98165,37.92155
CSC120617TCc1,2012-06-17,Calabria,Reggio di Calabria,Brancaleone,Caretta caretta,1,ND,32.0,TOT,Vivo,,,ND,ASP,Elena Madeo,Centro Studi Cetacei,16.1071,37.96776
CSC120609TCc1,2012-06-09,Calabria,Cosenza,,Caretta caretta,1,M,42.0,TOT,Vivo,,,ND,Guardia Costiera,Stefania Giglio,Centro di recupero,16.02528,39.35728
CSC120602TCc1,2012-06-02,Calabria,Reggio di Calabria,Siderno,Caretta caretta,1,ND,21.0,TOT,Vivo,,,ND,ASP,Stefania Giglio,Centro Studi Cetacei,16.30111,38.26815
CSC120421TCc1,2012-04-21,Calabria,Reggio di Calabria,Bagnara Calabra,Caretta caretta,1,ND,38.0,TOT,Vivo,,,ND,ASP,Stefania Giglio,Centro Studi Cetacei,15.8006,38.28601
CSC120413TCc1,2012-04-13,Calabria,Cosenza,,Caretta caretta,1,F,59.0,TOT,Vivo,,,ND,Guardia Costiera,Elena Madeo,Centro di recupero,15.80927,39.68339
CSC120411TCc1,2012-04-11,Abruzzo,Teramo,Tortoreto,Caretta caretta,1,ND,59.0,CCL,Vivo,,CSC1138,ND,Guardia Costiera,Vincenzo Olivieri,Centro Studi Cetacei,13.94201,42.81011
CSC120317TCc1,2012-03-17,Puglia,Lecce,,Caretta caretta,1,ND,,,Vivo,,,ND,Privato cittadino,Giacomo Marzano,Parco naturale,18.1842,40.46997
CSC120211TCc1,2012-02-11,Marche,Fermo,,Caretta caretta,1,M,72.0,TOT,Vivo,,,ND,Guardia Costiera,Pina De Curtis,ASL,13.80495,43.17142
CSC120211TCc2,2012-02-11,Marche,Fermo,,Caretta caretta,1,ND,56.0,TOT,Vivo,,,ND,Guardia Costiera,Pina De Curtis,ASL,13.88224,43.28691
CSC120202TCc1,2012-02-02,Marche,Fermo,,Caretta caretta,1,M,85.0,TOT,Morto,,,ND,Guardia Costiera,Patrizia Tirabasso,ASL,13.79695,43.18802
CSC120202TCc2,2012-02-02,Marche,Fermo,,Caretta caretta,1,ND,30.0,TOT,Vivo,,,ND,Guardia Costiera,Patrizia Tirabasso,ASL,13.83844,43.19616
CSC120127TCc1,2012-01-27,Marche,Fermo,,Caretta caretta,1,F,100.0,TOT,Morto,,,ND,Guardia Costiera,Pina De Curtis,ASL,13.77772,43.23512
CSC120119TCc1,2012-01-19,Calabria,Crotone,,Caretta caretta,1,M,50.0,TOT,Vivo,,,ND,Guardia Costiera,Stefania Giglio,Centro di recupero,17.14421,39.07287
CSC120111TCc1,2012-01-11,Calabria,Reggio di Calabria,Scilla,Caretta caretta,1,ND,36.0,TOT,Vivo,,,ND,ASP,Elena Madeo,Centro Studi Cetacei,15.71286,38.25379
CSC111228TCc1,2011-12-28,Calabria,Crotone,,Caretta caretta,1,F,79.0,TOT,Morto,,,ND,Guardia Costiera,Elena Madeo,Centro di recupero,17.01915,38.91034
CSC111221TCc1,2011-12-21,Calabria,Catanzaro,,Caretta caretta,1,M,45.0,TOT,Vivo,,,ND,Guardia Costiera,Elena Madeo,Centro di recupero,16.22063,38.90577
CSC111122TCc1,2011-11-22,Abruzzo,Chieti,,Caretta caretta,1,ND,,,Morto,,,ND,Guardia Costiera,Roberto Valente,ASL,14.746553,42.083556
CSC111121TCc1,2011-11-21,Abruzzo,Chieti,,Caretta caretta,1,ND,,,Morto,,,ND,Polizia di Stato,Giuseppe Torzi,ASL,14.74345,42.0853
CSC111020TCm1,2011-10-20,Calabria,Cosenza,,Chelonia mydas,2,ND,33.0,TOT,Vivo,,,ND,Guardia Costiera,Elena Madeo,Centro di recupero,15.92251,39.52316
CSC111015TCc1,2011-10-15,Marche,Fermo,,Caretta caretta,1,M,100.0,TOT,Morto,,,ND,Guardia Costiera,Remo Ruffini,ASL,13.78429,43.21686
CSC111014TCc1,2011-10-14,Abruzzo,Chieti,,Caretta caretta,1,ND,,,Morto,,,ND,Guardia Costiera,William Di Nardo,ASL,14.25293,42.44574
CSC111008TCc1,2011-10-08,Calabria,Catanzaro,,Caretta caretta,1,ND,19.0,TOT,Vivo,,,ND,Privato cittadino,Stefania Giglio,Centro di recupero,16.55962,38.68945
CSC110914TCc1,2011-09-14,Calabria,Catanzaro,,Caretta caretta,1,ND,17.0,TOT,Vivo,,,ND,Guardia Costiera,Stefania Giglio,Centro di recupero,16.61542,38.81827
CSC110910TCc1,2011-09-10,Abruzzo,Chieti,,Caretta caretta,1,ND,,,Morto,,,ND,Guardia Costiera,Massimo Genovesi,ASL,14.79694,42.0639
