codice,data_rilievo,regione,provincia,comune,specie,cod_specie,sesso,lunghezza_cm,tipo_lunghezza,condizioni,tag,tag_rilascio,interazione,segnalato_da,rilevatore,struttura_rilevatore,lng,lat
CSC120527CTt1,2012-05-27,Abruzzo,Teramo,,Tursiops truncatus,9,ND,210.0,TOT,Morto,,,No,Privato cittadino,Alfredo Di Domenicantonio,ASL,13.97526,42.75278
CSC120418CTt1,2012-04-18,Abruzzo,Chieti,,Tursiops truncatus,9,ND,283.0,TOT,Morto,,,No,Guardia Costiera,William Di Nardo,Centro Studi Cetacei,14.32768,42.40123
CSC120413CSc1,2012-04-13,Calabria,Catanzaro,,Stenella coeruleoalba,8,M,181.0,TOT,Morto,,,ND,Guardia Costiera,Stefania Giglio,Centro Studi Cetacei,16.55368,38.73627
CSC120409CSc1,2012-04-09,Calabria,Catanzaro,,Stenella coeruleoalba,8,ND,190.0,TOT,Morto,,,ND,Guardia Costiera,Anselmo Poerio ,ASL,16.79322,38.90186
CSC120407CTt1,2012-04-07,Calabria,Catanzaro,,Tursiops truncatus,9,M,285.0,TOT,Morto,,,ND,Privato cittadino,Elena Madeo,Centro Studi Cetacei,16.88781,38.9277
CSC120405CSc1,2012-04-05,Calabria,Reggio di Calabria,,Stenella coeruleoalba,8,ND,180.0,TOT,Morto,,,ND,Privato cittadino,S. Politi,ASL,15.87667,38.42286
CSC120321CSc1,2012-03-21,Calabria,Crotone,,Stenella coeruleoalba,8,M,196.0,TOT,Morto,,,ND,Guardia Costiera,Elena Madeo,Parco naturale,17.1016,39.28342
CSC120320CSc1,2012-03-20,Calabria,Crotone,,Stenella coeruleoalba,8,F,196.0,TOT,Morto,,,ND,Guardia Costiera,Stefania Giglio,Centro Studi Cetacei,17.10902,39.2816
CSC120317CSc4,2012-03-17,Lazio,Roma,,Stenella coeruleoalba,8,M,170.0,TOT,Morto,,,ND,Guardia Costiera,Valerio Manfrini,Centro Studi Cetacei,12.45762,41.6237
CSC120317CSc3,2012-03-17,Calabria,Crotone,,Stenella coeruleoalba,8,M,181.0,TOT,Morto,,,ND,Guardia Costiera,Elena Madeo,Centro Studi Cetacei,17.09343,38.90591
CSC120316CSc1,2012-03-16,Calabria,Catanzaro,,Stenella coeruleoalba,8,M,213.0,TOT,Morto,,,ND,Guardia Costiera,Stefania Giglio,Centro Studi Cetacei,16.53996,38.69998
CSC120314CSc1,2012-03-14,Lazio,Latina,,Stenella coeruleoalba,8,M,126.0,TOT,Morto,,,ND,Guardia Costiera,Luigi Valerio,Centro Studi Cetacei,13.56857,41.20858
CSC120302CSc1,2012-03-02,Calabria,Catanzaro,,Stenella coeruleoalba,8,F,180.0,TOT,Morto,,,ND,Guardia Costiera,Elena Madeo,Centro Studi Cetacei,16.56135,38.61815
CSC120228CSc1,2012-02-28,Abruzzo,Chieti,,Stenella coeruleoalba,8,M,174.0,TOT,Morto,,,No,Guardia Costiera,veterinari,ASL,14.72379,42.09959
CSC120221CSc1,2012-02-21,Lazio,Latina,,Stenella coeruleoalba,8,M,197.0,TOT,Morto,,,ND,Guardia Costiera,Domenico Infrutta,ASL,13.23587,41.2842
CSC120208CSc2,2012-02-08,Calabria,Catanzaro,,Stenella coeruleoalba,8,F,195.0,TOT,Morto,,,ND,Guardia Costiera,Stefania Giglio,Parco naturale,16.6248,38.8254
CSC120130CSc1,2012-01-30,Abruzzo,Chieti,,Stenella coeruleoalba,8,F,193.0,TOT,Morto,,,No,Guardia Costiera,Vincenzo Olivieri,Centro Studi Cetacei,14.41262,42.35471
CSC120119CSc1,2012-01-19,Abruzzo,Teramo,,Stenella coeruleoalba,8,F,193.0,TOT,Morto,,,No,Privato cittadino,Vincenzo Olivieri,Centro Studi Cetacei,14.0931,42.58195
CSC120118CZc1,2012-01-18,Calabria,Reggio di Calabria,,Ziphius cavirostris,10,F,425.0,TOT,Morto,,,ND,Privato cittadino,Stefania Giglio,Parco naturale,16.57428,38.4328
CSC120108CTt1,2012-01-08,Marche,Ascoli Piceno,,Tursiops truncatus,9,ND,220.0,TOT,Morto,,,ND,Privato cittadino,Falaschetti Giuliano,ASL,13.87654,42.98094
CSC120107CSc1,2012-01-07,Emilia Romagna,Ferrara,,Stenella coeruleoalba,8,F,199.0,TOT,Morto,,,ND,Privato cittadino,Valerio Manfrini,Centro Studi Cetacei,12.24545,44.67792
CSC111131CZc1,2011-12-01,Calabria,Crotone,,Ziphius cavirostris,10,F,680.0,TOT,Morto,,,ND,Guardia Costiera,Stefania Giglio,Parco naturale,17.16246,39.03863
